,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
34,Hollywood Undead,Undead,4U0p10TUdRyhQ06ZqGAtxx,62,0.0138,0.512,265053,0.943,0.0,2,0.261,-5.185,0,0.106,163.128,4,0.485
35,Slipknot,All Hope Is Gone,431a6o9W8aYTQWNGmdgDm0,58,0.00221,0.556,284760,0.996,0.000142,1,0.265,-2.517,1,0.171,100.061,4,0.206
36,Avenged Sevenfold,Doing Time,4OyfdJiHM6sbfkFmRLrygg,56,3.13e-05,0.433,205933,0.994,0.0564,2,0.196,-6.004,1,0.0833,160.033,4,0.533
37,Linkin Park,1stp Klosr,6BcF4tXjinsT9NBYFoxS6t,54,0.00272,0.471,346040,0.927,0.537,1,0.115,-5.76,1,0.0495,96.149,4,0.232
38,Katatonia,Old Heart Falls,4AHe46XPJyR6wt4jngb75M,46,0.00495,0.285,262507,0.533,0.0364,5,0.107,-7.657,0,0.0319,140.069,4,0.197
39,Demon Hunter,On My Side,3zlqFHiuLAUra9MsJ85l4v,58,4.68e-06,0.48,244387,0.953,0.0667,1,0.0805,-5.061,0,0.0889,95.016,4,0.268
40,Manowar,Metal Warriors,5P2Ghhv0wFYThHfDQaS0g5,46,0.000786,0.571,234560,0.797,0.186,9,0.0777,-9.264,1,0.0497,101.003,4,0.243
41,Battle Beast,Straight to the Heart,1YzpldeqIg9ajimliORKzK,48,6.4e-05,0.446,211600,0.965,0.000136,9,0.241,-4.821,0,0.0676,164.03,4,0.544
42,Red Hot Chili Peppers,Easily,3DmOWG8OD9eR12180fmJqf,59,0.000204,0.283,231333,0.982,0.0756,0,0.0627,-0.32,1,0.0703,124.149,4,0.438
43,The Union Underground,South Texas Deathride,4DenxoUslmyLJB5vzurCBD,54,0.00607,0.484,204293,0.924,0.0184,9,0.218,-5.119,1,0.0994,90.475,4,0.557
44,Creed,Don't Stop Dancing,4FzrCRil9uGpGGsnnM0vkE,60,0.00645,0.347,272867,0.576,0.0,7,0.342,-4.701,1,0.0322,137.622,4,0.139
45,Live,The Dolphin's Cry,6FPnecQDKOWSAKDKBAZ7ZG,57,0.000427,0.342,264160,0.797,1.37e-05,5,0.161,-5.948,0,0.0407,149.773,4,0.372
46,Avenged Sevenfold,Gunslinger,7MOQrtXMNImAq5TrPZzC0w,60,0.0203,0.316,251533,0.729,8.99e-06,2,0.207,-5.931,0,0.0356,163.127,4,0.367
47,Red Hot Chili Peppers,Brendan's Death Song,2pAho4WqtK5hQtgImHzT74,60,0.00998,0.355,338333,0.87,0.000111,7,0.114,-3.82,1,0.125,114.484,4,0.184
48,Alice In Chains,Man in the Box,6gZVQvQZOFpzIy3HblJ20F,72,0.00229,0.346,284427,0.765,7.54e-06,8,0.213,-8.558,1,0.0413,106.463,4,0.644
49,Thousand Foot Krutch,War of Change,5MgIar3zeFnDxTgvr3U37Z,58,0.00264,0.531,231665,0.887,0.000502,5,0.0657,-4.417,0,0.0323,104.025,4,0.621
50,Volbeat,Heaven Nor Hell - Live from Telia Parken,6xZ7AEa5pMIAYqFMqBqbfC,45,3.1e-05,0.347,205156,0.932,0.133,8,0.15,-6.353,1,0.0514,133.43,4,0.42
51,Eluveitie,Breathe,1pPuNbebubVqqZ04QMVpf1,38,0.00346,0.214,328133,0.873,0.00395,3,0.14,-6.141,0,0.0953,95.944,4,0.123
52,Rammstein,HALT,0M08QCHnOtyMq321MXEjF3,49,0.00111,0.636,260933,0.886,0.819,0,0.454,-4.826,1,0.0424,119.053,3,0.213
53,Chad Kroeger,Hero (feat. Josey Scott),779ooI3rBd0CLqCiiJmtVo,61,0.00216,0.427,200480,0.843,0.0,4,0.179,-4.54,1,0.0364,147.387,3,0.304
54,P.O.D.,Youth of the Nation,0UrWr7Jnu1heq1o99ZwUd0,71,0.00834,0.563,256240,0.86,0.0106,8,0.39,-7.533,1,0.0621,97.867,4,0.517
55,Skillet,Stars - The Shack Version,2KPjz1SM7AWC9GxXHmRucG,58,0.522,0.48,224947,0.5,0.0,11,0.193,-6.202,1,0.028,149.957,4,0.41
56,Shaman's Harvest,Soul Crusher,0keSlrEgr0ON2IhxwKxoNl,39,0.0125,0.439,236160,0.834,5.69e-06,7,0.291,-4.976,0,0.0445,144.828,4,0.51
57,Limp Bizkit,Nookie,1TEZWG1FdjzDdercCguTwj,65,0.00237,0.548,289560,0.926,0.163,11,0.712,-5.967,1,0.0907,97.55,4,0.294
58,Sabaton,Into the Fire,7BjlZsgD4d6x67b7WnsQdk,39,0.000224,0.447,205547,0.779,0.0314,9,0.0678,-8.051,0,0.0438,128.403,4,0.152
59,Marilyn Manson,mOBSCENE,1YVuJrfHHmD4ilULhAVqPW,52,5.49e-05,0.548,205720,0.954,0.000137,9,0.245,-4.008,1,0.0806,130.086,4,0.488
60,Alter Bridge,Addicted to Pain,2I75GCnEOzCvNpxCR3XYZH,52,1.7e-05,0.519,256867,0.99,0.000251,1,0.0849,-3.805,0,0.0985,118.033,4,0.285
61,Red Hot Chili Peppers,Californication,48UPSzbZjgc449aqz8bxox,82,0.0021,0.592,329733,0.767,0.00165,9,0.127,-2.788,0,0.027,96.483,4,0.328
62,Accept,Fast As A Shark,1zFarlqzxsE9I3QiwrdwJN,46,5.4e-05,0.434,229867,0.92,0.397,2,0.379,-14.802,1,0.0919,139.803,4,0.175
63,Volbeat,Lola Montez - Harp Version,0xxm0M1sFJ8EVWp5tl0ADW,39,0.000112,0.514,267520,0.875,1.19e-05,2,0.0793,-4.915,1,0.0333,76.001,4,0.691
64,Metallica,Mama Said,3dWNUqrgkQakv9fj5epwPK,56,0.0198,0.436,319693,0.51,0.00133,8,0.398,-7.624,0,0.0299,135.213,4,0.38
65,Alestorm,Drink,6jZXJIJVTCSZ15lFUp5qzD,54,3.72e-05,0.509,202587,0.855,5.87e-05,8,0.0808,-4.567,1,0.046,160.051,4,0.804
66,Rise Against,Injection,75rAjnPV6h0RgSORx2dUPi,56,0.000229,0.42,199213,0.995,8.13e-05,8,0.102,-2.99,0,0.0829,105.605,4,0.427
67,Manowar,"Black Wind, Fire and Steel",6rX7pbm7SyaEuH6BOpqjEp,42,3.45e-05,0.264,315667,0.928,0.571,11,0.175,-13.599,1,0.122,144.52,4,0.0382
