,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2337,Sigrid,High Five,6dpaekNzHZDhwd9QDayrbB,69,0.173,0.651,169369,0.628,0.0,1,0.0591,-5.811,1,0.0959,150.014,4,0.513
2338,Sofia Karlberg,All The Stars,76sRduclZyNUyyalIlsRfq,59,0.93,0.443,248586,0.293,0.0,1,0.109,-10.742,1,0.0451,81.267,4,0.356
2339,Alan Walker,Different World (feat. CORSAK),4heFQCyiW0RUEX1Q1lb008,71,0.0638,0.602,202907,0.752,0.0,7,0.13,-4.931,0,0.0361,130.037,4,0.331
2340,Felix Snow,Boomerang (feat. TYSM),0miVYVrty2kNqPQLfxRlW6,61,0.0394,0.67,130200,0.628,0.0,5,0.144,-7.125,1,0.0613,99.991,4,0.364
2341,Cadet,Advice,1fp2uoWXPca3mIdxRHIgQm,77,0.201,0.911,192571,0.529,0.0,9,0.101,-7.996,0,0.328,105.067,4,0.76
2342,KIDS SEE GHOSTS,Cudi Montage,4kUZvXB3LC3an3HX6h0s17,69,0.401,0.729,197001,0.504,1.44e-06,8,0.121,-6.784,0,0.0321,110.011,4,0.305
2343,Shawn Mendes,Like To Be You (feat. Julia Michaels),2IssBpPtHcViZL5vYQNHhA,75,0.812,0.737,159400,0.451,0.0,2,0.108,-9.405,1,0.229,153.766,4,0.664
2344,HEDEGAARD,Salvation,3oObw0TYxNJBZaScLWyUdj,43,0.0168,0.704,182720,0.618,0.0,6,0.142,-6.003,0,0.113,101.991,4,0.194
2345,Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,87,0.368,0.901,203267,0.464,1.71e-05,5,0.238,-9.789,0,0.0645,109.004,4,0.638
2346,Twenty One Pilots,Jumpsuit,1E1uGhNdBe6Dddbgs2KqtZ,78,0.00849,0.62,238560,0.61,0.162,11,0.205,-8.329,0,0.0373,127.052,4,0.235
2347,ATYPISK,Øjne På Mig,3UtoOVstWvIRvrty74EXWp,48,0.0705,0.773,193385,0.741,0.0,1,0.0839,-2.626,1,0.0544,129.968,4,0.943
2348,Bar Z,Finde ud af det,3diUUVZYwHjtWRvrPuJy5e,37,0.059,0.711,171510,0.611,0.0,10,0.216,-6.384,0,0.151,163.986,4,0.853
2349,Marwa Loud,Fallait Pas,3VopW4TAhthIq3N4mAXwhY,63,0.532,0.892,208291,0.779,9.4e-06,9,0.0688,-6.607,1,0.0945,124.017,4,0.927
2350,6LACK,Balenciaga Challenge (feat. Offset),6Zisja44KqMZj4GM4UY6Yv,65,0.128,0.746,187217,0.404,2.05e-05,10,0.19,-9.849,0,0.403,142.913,4,0.686
2351,Calum Scott,Need To Know,6EkQmHBoux7iqK4vjfHq4V,68,0.0968,0.728,167587,0.739,0.0,3,0.0889,-6.95,1,0.151,125.064,4,0.311
2352,Marvin S,Inte Omri,2uj1LBAY6k32ARj0SuetpG,35,0.127,0.707,201705,0.585,0.0,4,0.292,-6.36,0,0.0318,117.948,4,0.373
2353,Thøger Dixgaard,Lige her,24uQJmdEqSPEFGf6tJy0Hz,35,0.611,0.801,161143,0.584,1.06e-05,1,0.129,-6.547,1,0.0503,104.967,4,0.741
2354,BTS,Trivia 轉 : Seesaw,1ZPpGPko8oULTmi34rozMh,74,0.181,0.707,246334,0.791,0.0,5,0.102,-4.481,0,0.035,106.985,4,0.678
2355,K E M A L,BRAVE,1LiEAia09qw722mpzqfROY,67,0.577,0.489,277280,0.366,0.00014,6,0.0496,-11.097,1,0.0322,88.815,4,0.161
2356,Ude Af Kontrol,Go' Coke Go' Karma,4f9EglQiv1kcncBJo5RUc4,45,0.046,0.821,152113,0.858,0.0,7,0.258,-7.079,1,0.412,141.922,4,0.456
